support,itemsets,cluster
0.03677,"F, ,,  , e, ,,  , m, ,,  , i, ,,  , n, ,,  , i, ,,  , n, ,,  , e, ,,  ,  , ,,  , H, ,,  , y, ,,  , g, ,,  , i, ,,  , e, ,,  , n, ,,  , e, ,,  ,  , ,,  , P, ,,  , r, ,,  , o, ,,  , d, ,,  , u, ,,  , c, ,,  , t, ,,  , s",2
0.03568,"G, ,,  , a, ,,  , r, ,,  , d, ,,  , e, ,,  , n, ,,  ,  , ,,  , H, ,,  , o, ,,  , s, ,,  , e",0
0.03619,"H, ,,  , a, ,,  , i, ,,  , r, ,,  ,  , ,,  , G, ,,  , e, ,,  , l",2
0.03517,"H, ,,  , a, ,,  , n, ,,  , d, ,,  ,  , ,,  , S, ,,  , a, ,,  , n, ,,  , i, ,,  , t, ,,  , i, ,,  , z, ,,  , e, ,,  , r",0
0.03579,"H, ,,  , o, ,,  , n, ,,  , e, ,,  , y",0
0.03596,"I, ,,  , c, ,,  , e, ,,  ,  , ,,  , C, ,,  , r, ,,  , e, ,,  , a, ,,  , m",2
0.03685,"I, ,,  , n, ,,  , s, ,,  , e, ,,  , c, ,,  , t, ,,  ,  , ,,  , R, ,,  , e, ,,  , p, ,,  , e, ,,  , l, ,,  , l, ,,  , e, ,,  , n, ,,  , t",2
0.03628,"I, ,,  , r, ,,  , o, ,,  , n",2
0.03575,"I, ,,  , r, ,,  , o, ,,  , n, ,,  , i, ,,  , n, ,,  , g, ,,  ,  , ,,  , B, ,,  , o, ,,  , a, ,,  , r, ,,  , d",0
0.03554,"J, ,,  , a, ,,  , m",0
0.03531,"K, ,,  , e, ,,  , t, ,,  , c, ,,  , h, ,,  , u, ,,  , p",0
0.03663,"L, ,,  , a, ,,  , u, ,,  , n, ,,  , d, ,,  , r, ,,  , y, ,,  ,  , ,,  , D, ,,  , e, ,,  , t, ,,  , e, ,,  , r, ,,  , g, ,,  , e, ,,  , n, ,,  , t",2
0.03528,"L, ,,  , a, ,,  , w, ,,  , n, ,,  ,  , ,,  , M, ,,  , o, ,,  , w, ,,  , e, ,,  , r",0
0.03733,"L, ,,  , i, ,,  , g, ,,  , h, ,,  , t, ,,  ,  , ,,  , B, ,,  , u, ,,  , l, ,,  , b, ,,  , s",2
0.03497,"M, ,,  , a, ,,  , y, ,,  , o, ,,  , n, ,,  , n, ,,  , a, ,,  , i, ,,  , s, ,,  , e",0
0.03647,"M, ,,  , i, ,,  , l, ,,  , k",2
0.0357,"M, ,,  , o, ,,  , p",0
0.0361,"M, ,,  , u, ,,  , s, ,,  , t, ,,  , a, ,,  , r, ,,  , d",2
0.03542,"O, ,,  , l, ,,  , i, ,,  , v, ,,  , e, ,,  ,  , ,,  , O, ,,  , i, ,,  , l",0
0.0364,"O, ,,  , n, ,,  , i, ,,  , o, ,,  , n, ,,  , s",2
0.0366,"O, ,,  , r, ,,  , a, ,,  , n, ,,  , g, ,,  , e",2
0.03606,"P, ,,  , a, ,,  , n, ,,  , c, ,,  , a, ,,  , k, ,,  , e, ,,  ,  , ,,  , M, ,,  , i, ,,  , x",2
0.03535,"P, ,,  , a, ,,  , p, ,,  , e, ,,  , r, ,,  ,  , ,,  , T, ,,  , o, ,,  , w, ,,  , e, ,,  , l, ,,  , s",0
0.03631,"P, ,,  , a, ,,  , s, ,,  , t, ,,  , a",2
0.03565,"P, ,,  , e, ,,  , a, ,,  , n, ,,  , u, ,,  , t, ,,  ,  , ,,  , B, ,,  , u, ,,  , t, ,,  , t, ,,  , e, ,,  , r",0
0.03578,"P, ,,  , i, ,,  , c, ,,  , k, ,,  , l, ,,  , e, ,,  , s",0
0.03581,"P, ,,  , l, ,,  , a, ,,  , n, ,,  , t, ,,  ,  , ,,  , F, ,,  , e, ,,  , r, ,,  , t, ,,  , i, ,,  , l, ,,  , i, ,,  , z, ,,  , e, ,,  , r",0
0.03612,"P, ,,  , o, ,,  , t, ,,  , a, ,,  , t, ,,  , o, ,,  , e, ,,  , s",2
0.03575,"P, ,,  , o, ,,  , w, ,,  , e, ,,  , r, ,,  ,  , ,,  , S, ,,  , t, ,,  , r, ,,  , i, ,,  , p, ,,  , s",0
0.03535,"R, ,,  , a, ,,  , z, ,,  , o, ,,  , r, ,,  , s",0
0.03632,"R, ,,  , i, ,,  , c, ,,  , e",2
0.03696,"S, ,,  , a, ,,  , l, ,,  , m, ,,  , o, ,,  , n",2
0.03645,"S, ,,  , h, ,,  , a, ,,  , m, ,,  , p, ,,  , o, ,,  , o",2
0.0357,"S, ,,  , h, ,,  , a, ,,  , v, ,,  , i, ,,  , n, ,,  , g, ,,  ,  , ,,  , C, ,,  , r, ,,  , e, ,,  , a, ,,  , m",0
0.03614,"S, ,,  , h, ,,  , o, ,,  , w, ,,  , e, ,,  , r, ,,  ,  , ,,  , G, ,,  , e, ,,  , l",2
0.03567,"S, ,,  , h, ,,  , r, ,,  , i, ,,  , m, ,,  , p",0
0.03581,"S, ,,  , o, ,,  , a, ,,  , p",0
0.0363,"S, ,,  , o, ,,  , d, ,,  , a",2
0.03698,"S, ,,  , p, ,,  , i, ,,  , n, ,,  , a, ,,  , c, ,,  , h",2
0.03645,"S, ,,  , p, ,,  , o, ,,  , n, ,,  , g, ,,  , e, ,,  , s",2
0.03576,"S, ,,  , y, ,,  , r, ,,  , u, ,,  , p",0
0.03534,"T, ,,  , e, ,,  , a",0
0.03609,"T, ,,  , i, ,,  , s, ,,  , s, ,,  , u, ,,  , e, ,,  , s",2
0.03613,"T, ,,  , o, ,,  , i, ,,  , l, ,,  , e, ,,  , t, ,,  ,  , ,,  , P, ,,  , a, ,,  , p, ,,  , e, ,,  , r",2
0.03598,"T, ,,  , o, ,,  , m, ,,  , a, ,,  , t, ,,  , o, ,,  , e, ,,  , s",2
0.03643,"T, ,,  , o, ,,  , o, ,,  , t, ,,  , h, ,,  , b, ,,  , r, ,,  , u, ,,  , s, ,,  , h",2
0.07042,"T, ,,  , o, ,,  , o, ,,  , t, ,,  , h, ,,  , p, ,,  , a, ,,  , s, ,,  , t, ,,  , e",1
0.03586,"T, ,,  , r, ,,  , a, ,,  , s, ,,  , h, ,,  ,  , ,,  , B, ,,  , a, ,,  , g, ,,  , s",0
0.03673,"T, ,,  , r, ,,  , a, ,,  , s, ,,  , h, ,,  ,  , ,,  , C, ,,  , a, ,,  , n, ,,  , s",2
0.0345,"T, ,,  , u, ,,  , n, ,,  , a",0
0.03527,"V, ,,  , a, ,,  , c, ,,  , u, ,,  , u, ,,  , m, ,,  ,  , ,,  , C, ,,  , l, ,,  , e, ,,  , a, ,,  , n, ,,  , e, ,,  , r",0
0.03605,"V, ,,  , i, ,,  , n, ,,  , e, ,,  , g, ,,  , a, ,,  , r",2
0.03593,"W, ,,  , a, ,,  , t, ,,  , e, ,,  , r",0
0.03659,"Y, ,,  , o, ,,  , g, ,,  , u, ,,  , r, ,,  , t",2
